Item1,relation,Item2
班婕妤,sex or gender,女性
密克罗尼西亚,country,密克罗尼西亚联邦
英国国教,part of,西方基督教
芝加哥中途国际机场,country,美国
密克罗尼西亚,diplomatic relation,澳大利亚
帕劳,diplomatic relation,澳大利亚
地支,part of,干支
渡口,instance of,乡
台伯河,country,意大利
李世民,sibling,李玄霸
马斯特里赫特条约,language of work or name,西班牙语
肽键,subclass of,共价键
印尼,contains administrative territorial entity,巴厘岛
埃塞俄比亚,diplomatic relation,希腊
越南,diplomatic relation,奥地利
宇宙,has parts of the class,暗物质
阿拉伯板块,shares border with,印度板块
长江,continent,亚洲
明神宗,place of birth,北京市
巴勒斯坦民族解放运动,instance of,政党
易北河,continent,欧洲
科特布斯,instance of,大城市
柬埔寨,diplomatic relation,菲律宾
消防,instance of,技能
腓特烈大帝,position held,选帝侯
汉景帝,sex or gender,男性
格鲁吉亚,diplomatic relation,印度尼西亚
哈萨克族,part of,突厥人
马车,source of energy,马
绥靖,subclass of,政治
挪威,shares border with,欧洲联盟
秦汉,sex or gender,男性
尼亚美,instance of,首都
巴基斯坦,contains administrative territorial entity,吉尔吉特-巴尔蒂斯坦
胡夏,languages spoken written or signed,标准汉语
约旦,instance of,主权国家
立陶宛,diplomatic relation,瑞典
新纪元运动,subclass of,宗教
匈牙利,shares border with,奥地利
被子植物门,taxon synonym,被子植物
虚数单位,instance of,虚数
纳希切万自治共和国,located in the administrative territorial entity,阿塞拜疆
宁国市,located in the administrative territorial entity,宣城市
申,twinned administrative body,鹿特丹
利比里亚历史,country,利比里亚
段玉裁,occupation,哲学家
布鲁塞尔-首都大区,capital of,欧洲经济共同体
反馈,field of work,控制理论
蜀汉,capital,成都市
沭河,country,中华人民共和国
塔吉克,instance of,主权国家
聂斯脱里,position held,主教
定州市,located in the administrative territorial entity,保定市
阋神星,instance of,小行星
埃及,diplomatic relation,蒙古国
福音派,instance of,宗派
萨拉热窝,twinned administrative body,那不勒斯
辛亥革命,country,中国
村,part of,农村
甘油,instance of,化合物
众数,instance of,数
硫酸铅,has part,硫
埃尔福特,twinned administrative body,维尔纽斯
醋酸钠,has part,钠
申,twinned administrative body,巴塞罗那
火球,language of work or name,英语
卢梭,notable work,社会契约论
南纬60度线,instance of,纬线
CID,filming location,马德里
陈独秀,occupation,哲学家
水,color,红色
西班牙,diplomatic relation,巴西
纽西兰,member of,联合国
突厥,shares border with,阿塞拜疆
尼泊尔,diplomatic relation,沙特阿拉伯
妊神星,instance of,小行星
犹太裔,subclass of,犹太人
物理学定律,subclass of,定律
叶利钦,member of political party,苏联共产党
匈牙利人民共和国,replaced by,匈牙利
曾母暗沙,territory claimed by,中华人民共和国
拓拔珪,place of death,大同市
纵波,subclass of,波
乌兹别克苏维埃社会主义共和国,capital,布哈拉
工兵,subclass of,士兵
法兰西共和国,diplomatic relation,卢森堡
大清,country,清朝
可视化,use,科学
国民政府,capital,南京市
上海,contains administrative territorial entity,长宁区
晋城,contains administrative territorial entity,阳城县
恩里科·费米,residence,美国
联合王国,diplomatic relation,巴西
双糖,subclass of,寡醣
马耳他语,instance of,自然语言
哈萨克,diplomatic relation,马来西亚
俾斯麦海,country,巴布亚新几内亚
萨拉热窝,twinned administrative body,布达佩斯
台北,instance of,城市
民国,diplomatic relation,波兰
红色,instance of,原色
水泥,subclass of,材料
滋贺县,located in the administrative territorial entity,日本
坎佩切湾,country,墨西哥
以色列,country,以色列
地方,part of,文化
教师,opposite of,学生
意大利,diplomatic relation,朝鲜民主主义人民共和国
亚齐语,writing system,拉丁文字
衡量,EIRIN film rating,G
也门,diplomatic relation,欧洲联盟
中华人民共和国中央人民政府,applies to jurisdiction,中华人民共和国
耶稣,languages spoken written or signed,亚拉姆语
催乳激素,found in taxon,智人
中华人民共和国,contains administrative territorial entity,内蒙古自治区
俄国,member of,世界贸易组织
埃塞俄比亚,diplomatic relation,吉布提
伊拉克,diplomatic relation,乌克兰
风,subclass of,机械
黑格尔,country of citizenship,德国
重庆,located in the administrative territorial entity,中华人民共和国
山西,contains administrative territorial entity,临汾市
本原,studies,存在
轿子山,instance of,山
刘庄,country,中华人民共和国
米诺斯文明,partially coincident with,迈锡尼文明
伯尔尼,country,瑞士
机器学习,subclass of,计算机科学
数据结构,subclass of,结构
夫差,occupation,君主
巴勒斯坦,diplomatic relation,朝鲜民主主义人民共和国
萧何,place of birth,丰县
皇家殖民地,contains administrative territorial entity,皮特凯恩群岛
斯大林,country of citizenship,俄罗斯帝国
不列颠,diplomatic relation,苏丹共和国
孝经,characters,孔子
彼尔姆,instance of,城市
阿布哈兹,diplomatic relation,德涅斯特河沿岸
川,instance of,概念
南极条约,instance of,条约
捷克,diplomatic relation,冰岛
淮海经济区,country,中华人民共和国
科罗拉多州,located in the administrative territorial entity,美国
安哥拉,diplomatic relation,格鲁吉亚
库克群岛,official language,英语
法蒂玛王朝,continent,欧洲
澳,diplomatic relation,欧洲联盟
仙霞关,country,中华人民共和国
正片,language of work or name,法语
恩斯特·海克尔,sex or gender,男性
土耳其,diplomatic relation,波兰
李政道,member of,中国科学院
蛋,natural product of taxon,卵
管理,fabrication method,社会控制
分流,opposite of,支流
奴隶,instance of,社会阶级
结合律,used by,加法
签名,part of,维也纳条约法公约
智利,member of,联合国
昭和天皇,country of citizenship,日本
中华民国,diplomatic relation,巴勒斯坦
西宁市,located in the administrative territorial entity,青海省
董卓,sex or gender,男性
大不列颠及北爱尔兰联合王国,diplomatic relation,新加坡
申,twinned administrative body,温得和克
力量,country of origin,美国
热带气旋,subclass of,自然灾害
森格藏布,country,中华人民共和国
塔林,continent,欧洲
汉水,country,中华人民共和国
淄博,located in the administrative territorial entity,山东省
苹果公司,stock exchange,纳斯达克
神经,has part,轴突
地中海,basin country,摩洛哥
梶田隆章,award received,诺贝尔物理学奖
女娲,instance of,神
溥仪,place of death,北京市
朝鲜,diplomatic relation,毛里塔尼亚
生物学,has part,生态学
三十年战争,participant,匈牙利王国
敖德萨州,located in or next to body of water,黑海
化妆品,subclass of,化学物质
尼古拉·特斯拉,native language,塞尔维亚-克罗地亚语
巴拉圭,instance of,国家
波多黎各海沟,named after,波多黎各
手势,instance of,通信
勿里洞岛,country,印度尼西亚
黎巴嫩,diplomatic relation,法国
泰坦,parent astronomical body,土星
几内亚,member of,联合国
旧金山半岛,instance of,半岛
俄语,country,加拿大
Ca,diplomatic relation,印度
约翰·洛克,occupation,医生
投降,instance of,契约
球蛋白,subclass of,蛋白质
凤梨,color,黄色
希腊,diplomatic relation,叙利亚
亚历山大·冯·洪堡,field of work,植物学
赫鲁晓夫,languages spoken written or signed,俄语
云南,shares border with,西藏自治区
马里,shares border with,毛里塔尼亚
天心区,country,中华人民共和国
乔万尼·薄伽丘,languages spoken written or signed,意大利语
日本,diplomatic relation,东帝汶
阿富汗,diplomatic relation,阿拉伯联合酋长国
河北,shares border with,山西省
突厥,shares border with,苏联
加沙地带,office held by head of government,总统
中华人民共和国,member of,亚洲太平洋经济合作组织
紧急状态,subclass of,事件
人生,has part,人性
海德格尔,languages spoken written or signed,德语
纳米比亚,diplomatic relation,南非
亚述人,religion,基督教
中国历史,subclass of,历史
墨西哥,diplomatic relation,伯利兹
有机,has parts of the class,酯
海森堡,work location,莱比锡
圣彼得堡,named after,列宁
夏洛特,twinned administrative body,弗罗茨瓦夫
屋大维,occupation,士兵
芬兰,diplomatic relation,纳米比亚
毛里塔尼亚,shares border with,阿尔及利亚
火山碎屑岩,subclass of,喷出岩
苏格兰盖尔语,writing system,拉丁文字
巴西,diplomatic relation,英国
分,part of,小时
石,contains administrative territorial entity,晋州市
牛顿万有引力定律,instance of,物理定律
萨格勒布迪纳摩,headquarters location,萨格勒布
土库曼语,country,阿富汗
不列颠,diplomatic relation,爱尔兰共和国
甘南州,country,中华人民共和国
波塞冬,partner,盖亚
塞尔维亚,diplomatic relation,智利
田蚡,occupation,政治人物
核物理学,subclass of,物理学
太行山,located in the administrative territorial entity,河南省
已开发国家,subclass of,国家
新加坡,diplomatic relation,大韩民国
文献,subclass of,作品
戴圣,sex or gender,男性
拉丁美洲,has part,哥伦比亚
墨子,occupation,哲学家
肽,subclass of,化合物
阿诺·彭齐亚斯,educated at,哥伦比亚大学
内格罗斯岛,continent,亚洲
综艺,place of publication,纽约
宇宙,has cause,大爆炸
突厥,diplomatic relation,意大利
人文地理,instance of,社会科学
维尔纽斯,instance of,首都
陈廷敬,occupation,政治人物
澳,diplomatic relation,法国
以色列,diplomatic relation,阿塞拜疆
贝利撒留,place of death,君士坦丁堡
雅拉河,instance of,河流
乌拉圭,diplomatic relation,墨西哥
保加利亚,diplomatic relation,斯洛伐克
胡适,occupation,教授
乌江,drainage basin,长江流域
瑞士,diplomatic relation,马来西亚
多板纲,taxon rank,纲
Webmail,subclass of,网络应用程序
布拉迪斯拉发,capital of,斯洛伐克
郑孝燮,country of citizenship,中华人民共和国
首尔,capital of,朝鲜王朝
哥尼斯堡,twinned administrative body,墨西哥城
斯里兰卡,diplomatic relation,孟加拉国
上海派遣军,country,日本
葡萄牙殖民地,instance of,日不落帝国
伊奥尼亚海,basin country,希腊
中华人民共和国行政区划,country,中华人民共和国
连续,subclass of,函数
南亚次大陆,has part,孟加拉国
墨西哥,diplomatic relation,智利
瑞金,instance of,县级市
中洲礁,instance of,暗礁
玄宗,sex or gender,男性
普里什蒂纳,capital of,科索沃
泰勒级数,discoverer or inventor,布鲁克·泰勒
ISO,official language,俄语
萨格勒布,twinned administrative body,上海市
电解,instance of,化学反应
墨水,use,印刷
西安,twinned administrative body,雅典
传说,subclass of,散文
五大湖,located on terrain feature,北美洲
概率分布,subclass of,分布
大不列颠王国,contains administrative territorial entity,英格兰
王莽,place of birth,大名县
马六甲市,country,马来西亚
掸族,instance of,族群
九州岛,taxon rank,种
合肥,located in the administrative territorial entity,安徽省
西宁市,part of,青海省
赞比亚,shares border with,坦桑尼亚
良性肿瘤,opposite of,癌症
徐铉,sex or gender,男性
咸宁,country,中华人民共和国
巴西,diplomatic relation,捷克
塞尔维亚,diplomatic relation,尼泊尔
平凉市,country,中华人民共和国
欧洲联盟,foundational text,里斯本条约
选帝侯,applies to jurisdiction,神圣罗马帝国
加纳,diplomatic relation,多哥
库尔德斯坦,located on terrain feature,中东
恩斯特·海克尔,occupation,艺术家
斯宾诺莎,influenced by,柏拉图
巴斯利卡塔,capital,波坦察
洛河,mouth of the watercourse,黄河
现代标准汉语,instance of,标准
Windows,subclass of,操作系统
雅各布·格林,occupation,作家
安哥拉,diplomatic relation,纳米比亚
尼日利亚,diplomatic relation,喀麦隆
清世宗,ethnic group,满族
甘油,subject has role,溶剂
保加利亚,official language,保加利亚语
总理,subclass of,政府首脑
词源,language of work or name,拉丁语
墓,manifestation of,死亡
赤峰市,country,中华人民共和国
伍,writing system,汉字
巴布亚新几内亚,shares border with,印度尼西亚
土耳其,diplomatic relation,印度尼西亚
矩,part of,数学
乌克兰,diplomatic relation,爱沙尼亚
新西兰,instance of,国家
联邦德国,basic form of government,议会共和制
托迪,country,意大利
甲板,part of,船
达利语,instance of,方言
南部-戈德斯通定理,subclass of,玻色子
也门,diplomatic relation,塞尔维亚
僧伽罗文,instance of,元音附标文字
教育,practiced by,教授
泰坦尼克号,narrative location,纽约
德涅斯特河沿岸,official language,乌克兰语
鲸鲨,taxon rank,种
萨克森,located in the administrative territorial entity,德国
不列颠,member of,英联邦
艾森豪威尔,occupation,政治人物
共产党,political ideology,马克思列宁主义
马丁·路德,occupation,出家人
象牙海岸,diplomatic relation,墨西哥
术语,subclass of,概念
凹透镜,subclass of,透镜
彼得·塞曼,nominated for,诺贝尔物理学奖
孙吴,instance of,县
维也纳,capital of,奥地利
氰化物,has part,氰化物
蔡叔,father,周文王
哥本哈根,capital of,丹麦王国
斯宾诺莎,ethnic group,犹太人
根,part of,植物
博尔赫斯,languages spoken written or signed,英语
变质岩,subclass of,岩石
大不列颠及北爱尔兰联合王国,diplomatic relation,葡萄牙
信用,subclass of,借贷
北直隶,located in the administrative territorial entity,明朝
日本皇室,country,日本
意大利语族,instance of,语系
周懿王,father,周共王
李渊,sex or gender,男性
勃兰登堡,contains administrative territorial entity,科特布斯
合肥,contains administrative territorial entity,肥西县
居里夫人,award received,诺贝尔化学奖
大英百科全书,country of origin,英国
牧野之战,participant,商朝
拉普拉斯,religion,无神论
广告,depicts,服务
皖,contains administrative territorial entity,淮南市
布拉迪斯拉发,located in or next to body of water,多瑙河
安那托利亚,subclass of,印欧语系
绿色,instance of,原色
语素,different from,音位
脑苷脂,subclass of,糖苷
CERN,country,瑞士
弗洛伊德,native language,德语
湖北,located in the administrative territorial entity,中华人民共和国
首尔,located in the administrative territorial entity,朝鲜王朝
罗布泊,country,中华人民共和国
苏维埃社会主义共和国联盟,instance of,社会主义国家
艾森豪威尔,blood type,O
硫磺,participant,美国
CH,diplomatic relation,希腊
莫泊桑,sex or gender,男性
莫高窟,located in the administrative territorial entity,甘肃省
副省级城市,subclass of,城市
湖,subclass of,地形
匈牙利劳动人民党,followed by,匈牙利社会主义工人党
拉丁美洲,has part,哥斯达黎加
霍叔,sibling,周武王
叙利亚,diplomatic relation,保加利亚
苏联共产党,founded by,列宁
前2070年,instance of,世纪
乌兹别克,instance of,国家
科索沃和梅托希亚自治省,territory claimed by,塞尔维亚
长江,located in the administrative territorial entity,西藏自治区
新西兰,diplomatic relation,印度
利古里亚,country,法国
韶州,country,中华人民共和国
哈菲兹·阿萨德,country of citizenship,叙利亚
巴统,instance of,城市
标准大气压,measured physical quantity,压强
克莱德·科温,sex or gender,男性
法属圭亚那,part of,南美洲
二十四史,has part,魏书
耶路撒冷,country,约旦
热层,part of,地球大气层
乌兹别克,diplomatic relation,乌克兰
一院制,subclass of,议会
朝鲜,diplomatic relation,格鲁吉亚
体腔,field of work,解剖学
萨拉热窝,twinned administrative body,卢布尔雅那
广州,twinned administrative body,曼谷
救世主,depicts,耶稣
半坡遗址,heritage designation,全国重点文物保护单位
王国维,occupation,历史学家
日本天皇,subclass of,皇帝
易北河,located in the administrative territorial entity,汉堡
加纳,shares border with,科特迪瓦
刚果共和国,shares border with,刚果民主共和国
伊比利亚半岛,country,西班牙
氟,location of discovery,法国
南斯拉夫社会主义联邦共和国,country,南斯拉夫社会主义联邦共和国
瑞典,official language,萨米语
卢旺达,diplomatic relation,德国
丹江口水库,lake inflows,丹江
阿勒曼尼语,country,德国
临夏州,country,中华人民共和国
英雄,country of origin,美国
突厥,shares border with,伊拉克
危地马拉,shares border with,墨西哥
阿布·伯克尔,place of death,麦地那
亨利·卡文迪许,field of work,物理学
小安的列斯群岛,located on terrain feature,加勒比海
溶剂,subclass of,化学物质
生物分类学,subclass of,生物学
粤,contains administrative territorial entity,茂名市
老挝,shares border with,中华人民共和国
让-保罗·萨特,educated at,巴黎大学
黑龙江,located in the administrative territorial entity,中华人民共和国
荷兰王国,member of,欧洲联盟
含山县,instance of,县
文学,subclass of,艺术
荞麦属,taxon rank,属
乌程县,instance of,县
乌拉尔河,country,哈萨克斯坦
希腊,instance of,主权国家
人类性行为,has effect,性交
宿豫区,country,中华人民共和国
中弗兰肯,instance of,行政区
企业,subclass of,公司
吉尔吉斯斯坦,member of,世界贸易组织
雄性,subclass of,生物
伽利略·伽利莱,languages spoken written or signed,拉丁语
芬兰,diplomatic relation,巴基斯坦
扶苏,child,子婴
地中海,basin country,西班牙
长江,tributary,黄浦江
苏维埃社会主义共和国联盟,country,苏联
夏恽,sex or gender,男性
苏拉威西海,shares border with,北加里曼丹省
第勒尼安海,part of,地中海
广德县,contains administrative territorial entity,桃州镇
大名县,contains administrative territorial entity,大名镇
马其顿王国,instance of,帝国
德国,diplomatic relation,塞内加尔
西斯拉夫语支,subclass of,斯拉夫语族
联合王国,diplomatic relation,爱尔兰共和国
德国,diplomatic relation,沙特阿拉伯
船,subclass of,船只
镇,part of,国家
尼泊尔语,country,尼泊尔
提洛,country,希腊
一神教,has quality,全在
内卡河,mouth of the watercourse,莱茵河
侏罗纪,follows,三叠纪
氯仿,has part,氯
杨坚,place of death,宝鸡市
王莽,sex or gender,男性
阿尔伯特·爱因斯坦,country of citizenship,瑞士
波斯语,indigenous to,大伊朗
京包铁路,located in the administrative territorial entity,河北省
电视,subclass of,广播
苔藓植物门,taxon rank,门
申,shares border with,浙江省
山东,contains administrative territorial entity,聊城市
下相,located in the administrative territorial entity,宿迁市
乌克兰,diplomatic relation,摩尔多瓦
分,instance of,时间单位
城区,country,中华人民共和国
棉,country of origin,美国
北大西洋公约,has part,意大利
半坡遗址,country,中华人民共和国
索马里,member of,非洲联盟
柏林,legislative body,柏林
材料,has quality,密度
塞尔维亚,diplomatic relation,安哥拉
氯化铜,has part,氯
圆锥曲线,subclass of,轨迹
塞纳-马恩省,shares border with,塞纳-圣但尼省
墨西哥,diplomatic relation,丹麦
脊髓,part of,脊椎
沃尔夫冈·泡利,country of citizenship,美国
直布罗陀海峡,country,摩洛哥
元惠宗,occupation,天文学家
普鲁士,instance of,主权国家
蒸发,different from,沸腾
王夫之,sex or gender,男性
斯德哥尔摩,twinned administrative body,赫尔辛基
奔萨,country,俄罗斯
府城,shares border with,高雄市
巴塞罗那,country,西班牙
侯,writing system,汉字
丹水,drainage basin,长江流域
阿方索一世,religion,基督教
瓦隆人,country,比利时
莫三比克,diplomatic relation,中华人民共和国
佛得角,diplomatic relation,古巴
巴尔干山脉,highest point,博泰夫峰
尼古拉·特斯拉,languages spoken written or signed,拉丁语
美利坚合众国,diplomatic relation,列支敦斯登
尼科巴群岛,located in the administrative territorial entity,安达曼-尼科巴群岛
捷克斯洛伐克,shares border with,波兰
糖苷,has part,碳
大不列颠王国,basic form of government,君主立宪制
保加利亚,contains administrative territorial entity,布拉格耶夫格勒州
埃尔朗根,shares border with,菲尔特
定陶县,located in the administrative territorial entity,菏泽市
下夸克,interaction,弱相互作用
不列颠空战,country,英国
圣尤斯特歇斯岛,currency,美元
中丁,country of citizenship,商朝
杜预,country of citizenship,中国
民国,diplomatic relation,伯利兹
厄勒海峡,country,丹麦
古吉拉特邦,language used,英语
波塞冬,domain of saint or deity,海
海牙,continent,欧洲
斜方晶系,subclass of,晶体结构
德国,diplomatic relation,阿曼
大不列颠及北爱尔兰联合王国,diplomatic relation,中华人民共和国
南苏丹,official language,英语
哈萨克苏维埃社会主义共和国,official language,哈萨克语
四川,contains administrative territorial entity,眉山市
苏维埃社会主义共和国联盟,motto,全世界无产者，联合起来！
大泥,located in the administrative territorial entity,泰国
等,instance of,汉字
工人,said to be the same as,工人
七喜,owned by,百事公司
阿勒曼尼语,country,法国
孟加拉,instance of,国家
菲律宾,diplomatic relation,伊拉克
美利坚合众国,diplomatic relation,乌拉圭
纳希切万自治共和国,shares border with,土耳其
新绛县,country,中华人民共和国
乔治·布尔,field of work,数理逻辑
麦积山,mountain range,秦岭
意大利,diplomatic relation,摩尔多瓦
联合国粮食及农业组织,official language,阿拉伯语
直布罗陀,continent,欧洲
斯宾诺莎,influenced by,弗兰西斯·培根
乘方,instance of,运算
俄国临时政府,country,俄罗斯
莫斯科,twinned administrative body,德里
库尔德斯坦,language used,阿拉伯语
白俄罗斯,diplomatic relation,俄罗斯
ISO,official language,法语
欧洲太空总署,official language,英语
南非,diplomatic relation,马来西亚
斐济,diplomatic relation,中华人民共和国
拉普拉塔河,country,乌拉圭
科威特,diplomatic relation,沙特阿拉伯
日本,diplomatic relation,瑞典
巴黎大学,located in the administrative territorial entity,巴黎
乌戈尔语支,has part,匈牙利语
智利,country,智利
太阳神,subclass of,神
法文,has effect,英语
犹大王国,continent,亚洲
木星,named after,朱庇特
埃及,diplomatic relation,朝鲜民主主义人民共和国
京津冀城市群,has part,北京市
中华人民共和国,continent,亚洲
明神宗,position held,皇帝
尼日利亚,diplomatic relation,希腊
长兴县,country,中华人民共和国
巴基斯坦,member of,英联邦
多瑙河,country,克罗地亚
土耳其,shares border with,欧洲联盟
戴震,sex or gender,男性
氟,instance of,气体
地貌学,studies,山
泰国,diplomatic relation,不丹
突厥,diplomatic relation,孟加拉国
蒋中正,sex or gender,男性
孟加拉,member of,联合国
Ca,diplomatic relation,埃塞俄比亚
法兰西岛,contains administrative territorial entity,瓦勒德瓦兹省
晋,contains administrative territorial entity,太原市
人性,part of,人生
林堡,country,比利时
爱沙尼亚,basic form of government,共和制
越南人民军,location,越南
托斯卡纳,shares border with,拉齐奥
模型,said to be the same as,模型
塞文河,mouth of the watercourse,布里斯托尔湾
克罗地亚,diplomatic relation,乌克兰
亨德里克·洛伦兹,member of,瑞典皇家科学院
科学界,country of origin,南斯拉夫
宝应县,instance of,县
贝利撒留,country of citizenship,拜占庭帝国
大不列颠及北爱尔兰联合王国,diplomatic relation,乌克兰
杨凌农业高新技术产业示范区,country,中华人民共和国
姬,instance of,汉姓
广安区,country,中华人民共和国
阿富汗,diplomatic relation,俄罗斯
白俄罗斯,contains administrative territorial entity,明斯克州
黄帝内经,country,汉朝
俄亥俄州,part of,美国本土
潇水,mouth of the watercourse,湘江
琴棋书画,has part,围棋
维斯瓦河,country,波兰
埃及,diplomatic relation,大韩民国
圣地亚哥,twinned administrative body,圣彼得堡
联邦德国,contains administrative territorial entity,巴登
德意志帝国,shares border with,奥匈帝国
河洛,contains administrative territorial entity,偃师市
巴统,country,格鲁吉亚
芝加哥,twinned administrative body,杜塞尔多夫
阿留申群岛,country,美国
天津,located in the administrative territorial entity,中华人民共和国
苏维埃社会主义共和国联盟,shares border with,中华人民共和国
南非,capital,布隆方丹
芬兰,diplomatic relation,意大利
世宗,religion,佛教
翟理斯,sex or gender,男性
廖俊智,occupation,化学家
亚美尼亚语,instance of,自然语言
二里头遗址,heritage designation,全国重点文物保护单位
法蒂玛王朝,continent,亚洲
约翰·希尔勒,country of citizenship,美国
卢旺达,instance of,共和制
宿迁,instance of,地级市
威斯敏斯特宫,country,英国
行星,model item,金星
人事,instance of,杂志
空间飞行器,subclass of,载具
中华人民共和国,diplomatic relation,东帝汶
王守仁,religion,儒家
色素,subclass of,材料
希腊,diplomatic relation,智利
加里宁格勒,twinned administrative body,波茨坦
中子,interaction,引力
俄国,diplomatic relation,古巴
西夏,continent,亚洲
德意志民主共和国,shares border with,捷克斯洛伐克
俄国,diplomatic relation,乌克兰
皖,contains administrative territorial entity,淮北市
广东,contains administrative territorial entity,湛江市
大英帝国,continent,欧洲
弗洛伊德,student of,弗朗兹·布伦塔诺
民国,diplomatic relation,不丹
中华人民共和国,ethnic group,彝族
洛杉矶,continent,北美洲
次文化,studied by,社会学
南非,diplomatic relation,伊朗
硫氰化物,instance of,化合物
临汝,located in the administrative territorial entity,平顶山市
古埃及,instance of,历史地区
尼加拉瓜,member of,联合国
老挝,diplomatic relation,格鲁吉亚
莫三比克,driving side,左
离岛,country,中华人民共和国
中华人民共和国中央人民政府,country,中华人民共和国
淅川,instance of,县
阿拉斯加州,deepest point,太平洋
富兰克林·德拉诺·罗斯福,country of citizenship,美国
玻利维亚,diplomatic relation,乌拉圭
澳,diplomatic relation,塞尔维亚
中华民国,diplomatic relation,土耳其
土耳其,shares border with,保加利亚
维尔京群岛,country,英国
民国,diplomatic relation,刚果共和国
春天,filming location,柏林
美利坚合众国,diplomatic relation,利比里亚
海地,member of,联合国
金塔纳罗奥州,shares border with,坎佩切州
厄尔布鲁士山,instance of,山
塞浦路斯,diplomatic relation,中华人民共和国
长老宗,described by source,大英百科全书
太原,capital of,晋国
氯化物,conjugate acid,氯化氢
卢旺达,diplomatic relation,中华人民共和国
缅甸,diplomatic relation,以色列
圣多明哥,twinned administrative body,巴塞罗那
直径,has parts of the class,半径
清东陵,country,中华人民共和国
津巴布韦,continent,非洲
味蕾,part of,舌
普兰县,instance of,县
玻利维亚,diplomatic relation,南非
死语言,subclass of,语言
大气,subclass of,载具
于,described by source,百家姓
泉州,contains administrative territorial entity,泉港区
四库全书,country of origin,中国
运城,located in the administrative territorial entity,山西省
商人,different from,商人
牛顿运动定律,discoverer or inventor,艾萨克·牛顿
满文转写方案,subclass of,转写
拉丁语族,subclass of,意大利语族
马丁乌斯·贝杰林克,field of work,微生物学
泰米尔纳德邦,shares border with,喀拉拉邦
威廉二世,manner of death,意外
苏联加盟共和国,country,苏联
枕叶,subclass of,脑叶
斯威士兰,language used,英语
济源,instance of,副地级市
宁夏,instance of,自治区
肥沃月湾,part of,中东
圣劳伦斯湾,tributary,圣劳伦斯河
彝语,instance of,语言
地球,has part,地球大气层
多哥,shares border with,贝宁
中华人民共和国,part of,金砖四国
约旦,instance of,国家
面向对象,subclass of,程序设计
吉尼斯世界纪录,country of origin,爱尔兰共和国
中华民国,diplomatic relation,尼加拉瓜
巴沙尔·阿萨德,member of political party,叙利亚复兴党
欧洲联盟,diplomatic relation,阿塞拜疆
中国国民党,instance of,政党
僧伽罗语,instance of,语言
白俄罗斯人,instance of,人民
雅尔塔,official language,俄语
大庆,contains administrative territorial entity,杜尔伯特蒙古族自治县
北京大学,country,中华人民共和国
叔本华,occupation,哲学家
孙策,place of birth,盐城市
昭和天皇,family,日本皇室
中非,member of,世界贸易组织
范畴论,part of,数学
庄子,notable work,庄子
桑蒂尼盖登,country,印度
一神教,has quality,全能
演化,has cause,遗传漂变
枪械,instance of,武器
突厥人,religion,犹太教
吉布提,instance of,国家
伊朗,part of,西亚
太祖,child,拖雷
苏里南,instance of,国家
亨利七世,noble title,王
哥伦比亚,diplomatic relation,巴西
德国,diplomatic relation,伯利兹
揭阳市,instance of,地级市
塞维利亚,twinned administrative body,杜塞尔多夫
清,contains administrative territorial entity,湖北省
拉齐奥,shares border with,坎帕尼亚
联合王国,country,英国
奥斯曼帝国,named after,奥斯曼一世
OM,diplomatic relation,俄罗斯
中共中央政治局,subclass of,政治局
阿卡德,country,伊拉克
巴尔干,located in or next to body of water,地中海
震波,subclass of,波
莱索托,diplomatic relation,格鲁吉亚
张献忠,sex or gender,男性
排版引擎,is a list of,发动机
科学,uses,科学方法
日本皇室,instance of,朝代
星团,part of,星系
西班牙,located on terrain feature,非洲
蒙特利尔,twinned administrative body,卡萨布兰卡
费曼,occupation,作家
安得拉邦,shares border with,马哈拉施特拉邦
CH,member of,世界贸易组织
卢萨蒂亚,country,波兰
俄国,diplomatic relation,阿拉伯联合酋长国
洛伦兹力,subclass of,力
新会县,country,中华人民共和国
台湾,diplomatic relation,英国
摩洛哥,continent,非洲
洪都拉斯,shares border with,尼加拉瓜
希特勒,work location,慕尼黑
制造业,instance of,产业
马六甲海峡,instance of,海峡
马哈拉施特拉邦,shares border with,卡纳塔克邦
卢旺达,diplomatic relation,美国
泰国,diplomatic relation,巴基斯坦
法兰西共和国,diplomatic relation,意大利
俾斯麦群岛,located on terrain feature,太平洋
星期一,named after,星期日
弗雷德里克·莱因斯,award received,诺贝尔物理学奖
阿波罗,present in work,伊利亚特
阿尔巴尼亚人,country,土耳其
孟海镇,country,中华人民共和国
南半球,has part,大洋洲
约旦,diplomatic relation,马来西亚
熟女真,instance of,人民
中央邦,located in the administrative territorial entity,印度
孟加拉,diplomatic relation,越南
澳,diplomatic relation,秘鲁
恋爱,instance of,心情
阿塞拜疆,continent,亚洲
藤本,instance of,姓氏
冰岛,named after,冰
匈牙利,replaces,匈牙利人民共和国
达斡尔族,country,中华人民共和国
墨西哥,diplomatic relation,厄瓜多尔
德国,diplomatic relation,冰岛
约翰·巴丁,field of work,物理学
圣座,owner of,梵蒂冈
蒙古语,writing system,西里尔字母
美利坚合众国,shares border with,古巴
独立,subclass of,地方分权
昭和天皇,sex or gender,男性
中华人民共和国,contains administrative territorial entity,江苏省
华严宗,subclass of,汉传佛教
圣路易斯,located in or next to body of water,密西西比河
葡萄牙,diplomatic relation,东帝汶
渤海,country,中华人民共和国
聊斋志异,translator,翟理斯
